seed,strict_pass,forget_eff,forget_gen,post_reload_min_margin,rewrite_failures,paraphrase_failures,Spe,PPL,repair_rank,repair_steps_used,stopped_early,active_before,active_after,newly_activated,delta_norm
0,True,0.0,0.0,0.25,0,0,14.33,10.75,6,47,True,6,0,0,0.2257860153913498
1,True,0.0,0.0,0.25,0,0,16.15,11.0625,8,28,True,18,0,0,0.39901164174079895
2,True,0.0,0.0,0.3125,0,0,12.62,10.75,8,16,True,11,0,0,0.2440885603427887
3,True,0.0,0.0,0.3125,0,0,13.96,10.75,8,4,True,8,0,0,0.06999513506889343
4,True,0.0,0.0,0.125,0,0,19.89,10.9375,8,46,True,9,0,0,0.3818495571613312
5,True,0.0,0.0,0.375,0,0,22.45,10.75,8,11,True,10,0,0,0.18948303163051605
6,True,0.0,0.0,0.4375,0,0,17.58,10.75,8,15,True,10,0,0,0.2411947399377823
7,True,0.0,0.0,0.3125,0,0,10.94,10.75,8,49,True,15,0,0,0.43729859590530396
8,True,0.0,0.0,0.1875,0,0,19.84,10.75,8,23,True,8,0,0,0.30610576272010803
9,True,0.0,0.0,0.4375,0,0,15.43,10.75,8,13,True,12,0,0,0.21510478854179382
