seed,candidate_checkpoint,candidate_scale,selected_scale,candidate_accepted,selection_reason,failed_gates,setting5_Eff,setting5_Gen,setting5_Spe,setting5_PPL,candidate_Eff,candidate_Gen,candidate_Spe,candidate_PPL,candidate_retain_Eff,candidate_retain_Gen,candidate_retain_Spe,selected_Eff,selected_Gen,selected_Spe,selected_PPL
1,/mmfs1/scratch/yl258/kp759/Unlearning/semantic-unlearning/outputs/zsre_cal384_repair_candidates_seeds1_10/seed1/active_candidate_checkpoint/model.safetensors,1.0,0.0,False,nonzero_repair_failed_official_metric_gates,"retain_Eff,retain_Gen",19.85,20.35,30.614846,11.625,0.0,0.0,30.614846,11.625,31.620029,30.896906,27.217863,19.85,20.35,30.614846,11.625
2,/mmfs1/scratch/yl258/kp759/Unlearning/semantic-unlearning/outputs/zsre_cal384_repair_candidates_seeds1_10/seed2/active_candidate_checkpoint/model.safetensors,1.0,0.0,False,nonzero_repair_failed_official_metric_gates,"retain_Eff,retain_Gen,retain_Spe",20.066667,18.4,31.25161,11.0625,0.0,0.0,31.25161,11.0625,30.916227,30.166557,28.468164,20.066667,18.4,31.25161,11.0625
3,/mmfs1/scratch/yl258/kp759/Unlearning/semantic-unlearning/outputs/zsre_cal384_repair_candidates_seeds1_10/seed3/active_candidate_checkpoint/model.safetensors,1.0,0.0,False,nonzero_repair_failed_official_metric_gates,"retain_Eff,retain_Gen,retain_Spe",19.97619,21.47619,27.016594,11.625,0.0,0.0,27.016594,11.8125,33.506697,31.834628,29.632672,19.97619,21.47619,27.016594,11.625
4,/mmfs1/scratch/yl258/kp759/Unlearning/semantic-unlearning/outputs/zsre_cal384_repair_candidates_seeds1_10/seed4/active_candidate_checkpoint/model.safetensors,1.0,0.0,False,nonzero_repair_failed_official_metric_gates,"retain_Eff,retain_Gen,retain_Spe",17.966667,18.366667,27.924298,11.25,0.0,0.0,27.924298,11.4375,32.747439,31.09351,29.16746,17.966667,18.366667,27.924298,11.25
5,/mmfs1/scratch/yl258/kp759/Unlearning/semantic-unlearning/outputs/zsre_cal384_repair_candidates_seeds1_10/seed5/active_candidate_checkpoint/model.safetensors,1.0,0.0,False,nonzero_repair_failed_official_metric_gates,"retain_Eff,retain_Gen,retain_Spe,PPL",25.677778,26.622222,30.203361,12.0,0.0,0.0,30.203361,13.375,30.38119,30.374087,28.809255,25.677778,26.622222,30.203361,12.0
6,/mmfs1/scratch/yl258/kp759/Unlearning/semantic-unlearning/outputs/zsre_cal384_repair_candidates_seeds1_10/seed6/active_candidate_checkpoint/model.safetensors,1.0,0.0,False,nonzero_repair_failed_official_metric_gates,"retain_Eff,retain_Gen,PPL",16.5,14.6,25.296392,11.625,0.0,0.0,25.296392,12.0,33.502915,32.356407,27.476879,16.5,14.6,25.296392,11.625
7,/mmfs1/scratch/yl258/kp759/Unlearning/semantic-unlearning/outputs/zsre_cal384_repair_candidates_seeds1_10/seed7/active_candidate_checkpoint/model.safetensors,1.0,0.0,False,nonzero_repair_failed_official_metric_gates,"retain_Eff,retain_Gen,retain_Spe",18.542857,18.42381,30.512363,12.5625,0.0,0.0,30.512363,12.5625,33.202396,32.369301,27.262071,18.542857,18.42381,30.512363,12.5625
8,/mmfs1/scratch/yl258/kp759/Unlearning/semantic-unlearning/outputs/zsre_cal384_repair_candidates_seeds1_10/seed8/active_candidate_checkpoint/model.safetensors,1.0,0.0,False,nonzero_repair_failed_official_metric_gates,"retain_Eff,retain_Gen,retain_Spe",25.526984,25.193651,27.109579,12.9375,0.0,0.0,27.109579,12.9375,32.650482,31.185867,27.978334,25.526984,25.193651,27.109579,12.9375
9,/mmfs1/scratch/yl258/kp759/Unlearning/semantic-unlearning/outputs/zsre_cal384_repair_candidates_seeds1_10/seed9/active_candidate_checkpoint/model.safetensors,1.0,0.0,False,nonzero_repair_failed_official_metric_gates,"retain_Eff,retain_Gen,retain_Spe",23.915873,25.101587,23.365873,12.1875,0.0,0.0,23.365873,12.1875,31.846757,31.130731,27.77383,23.915873,25.101587,23.365873,12.1875
10,/mmfs1/scratch/yl258/kp759/Unlearning/semantic-unlearning/outputs/zsre_cal384_repair_candidates_seeds1_10/seed10/active_candidate_checkpoint/model.safetensors,1.0,0.0,False,nonzero_repair_failed_official_metric_gates,"retain_Eff,retain_Gen,retain_Spe,PPL",20.109524,19.57619,23.935885,12.375,0.0,0.0,23.935885,14.25,31.714444,31.210794,28.349641,20.109524,19.57619,23.935885,12.375
