method,family,seed,source,Eff,Gen,Spe,PPL
base,reference,0,outputs/official_eval_base_seed0_spefix.json,6.0,6.0,10.89,11.0625
json_lmhead_zero_true_restore150,json_lmhead,0,outputs/official_eval_lmhead_zero_true_restore150_seed0_spefix.json,0.0,0.0,27.67,11.0625
base,reference,1,outputs/official_eval_base_seed1_spefix.json,16.0,14.0,12.56,11.0625
json_lmhead_zero_true_restore150,json_lmhead,1,outputs/official_eval_lmhead_zero_true_restore150_seed1_spefix.json,0.0,0.0,18.48,15.1875
base,reference,2,outputs/official_eval_base_seed2_spefix.json,14.0,17.0,8.08,11.0625
json_lmhead_zero_true_restore150,json_lmhead,2,outputs/official_eval_lmhead_zero_true_restore150_seed2_spefix.json,2.0,2.0,23.62,11.0625
base,reference,3,outputs/official_eval_base_seed3_spefix.json,16.0,19.0,9.83,11.0625
json_lmhead_zero_true_restore150,json_lmhead,3,outputs/official_eval_lmhead_zero_true_restore150_seed3_spefix.json,0.0,0.0,25.1,15.1875
base,reference,4,outputs/official_eval_base_seed4_spefix.json,10.0,15.0,13.61,11.0625
json_lmhead_zero_true_restore150,json_lmhead,4,outputs/official_eval_lmhead_zero_true_restore150_seed4_spefix.json,0.0,0.0,30.05,14.6875
